Scheme Code,Scheme Name,Fund House,Category,Latest_NAV,Return_1Y,Return_3Y,Return_5Y,Expense_Ratio,Risk_Level,AUM_Cr
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Axis Mutual Fund,Open Ended Schemes,1038.2027,17.28,39.49,134.94,1.13,Moderate,33916.25
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Axis Mutual Fund,Open Ended Schemes,1289.4075,-6.19,54.4,119.02,2.15,Very High,43840.17
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,Axis Mutual Fund,Open Ended Schemes,1039.1303,-5.97,29.08,93.14,0.94,Low,1189.93
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,Axis Mutual Fund,Open Ended Schemes,2784.0596,1.01,8.43,81.0,2.05,Very High,20755.22
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Axis Mutual Fund,Open Ended Schemes,1034.2183,-3.92,56.72,18.98,1.77,High,3335.31
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,Axis Mutual Fund,Open Ended Schemes,1038.2003,11.1,38.83,69.09,0.89,High,17015.83
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Bajaj Finserv Mutual Fund,Open Ended Schemes,11.0306,33.5,16.43,99.91,0.69,Low,17355.46
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Bajaj Finserv Mutual Fund,Open Ended Schemes,12.1526,24.3,44.87,116.73,1.01,High,31060.18
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Bajaj Finserv Mutual Fund,Open Ended Schemes,11.9783,26.56,29.63,132.5,1.86,Moderate,37980.71
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Bajaj Finserv Mutual Fund,Open Ended Schemes,11.9783,30.46,48.69,46.13,1.92,High,48370.8
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Bajaj Finserv Mutual Fund,Open Ended Schemes,12.1526,31.85,71.01,138.04,1.71,Moderate,16086.22
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,Bajaj Finserv Mutual Fund,Open Ended Schemes,10.9596,4.43,49.03,29.71,1.26,Moderate,4599.64
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,Bandhan Mutual Fund,Open Ended Schemes,12.3257,3.74,48.44,121.76,0.3,Moderate,4792.62
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,Bandhan Mutual Fund,Open Ended Schemes,10.4768,28.44,37.67,63.55,0.74,Low,4953.41
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,Bandhan Mutual Fund,Open Ended Schemes,10.5237,15.97,49.23,111.84,1.1,High,44147.33
121279,Bandhan Banking and PSU Fund - Direct Growth,Bandhan Mutual Fund,Open Ended Schemes,26.9379,34.35,10.73,13.63,0.72,Low,12140.77
121281,Bandhan Banking and PSU Fund - Direct IDCW,Bandhan Mutual Fund,Open Ended Schemes,14.1699,-7.68,74.35,66.27,0.5,High,34843.44
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,Bandhan Mutual Fund,Open Ended Schemes,10.634,33.12,26.63,36.39,1.34,Moderate,21960.47
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,Bandhan Mutual Fund,Open Ended Schemes,11.2208,26.43,34.01,134.14,1.9,High,9248.3
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,Bandhan Mutual Fund,Open Ended Schemes,11.343,25.09,45.86,62.25,1.02,High,45548.8
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,Bandhan Mutual Fund,Open Ended Schemes,10.8788,34.11,22.04,92.68,2.32,Low,29781.58
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,Bandhan Mutual Fund,Open Ended Schemes,10.6791,-2.99,53.01,48.04,0.3,Very High,22703.28
121280,Bandhan Banking and PSU Fund - Regular Growth,Bandhan Mutual Fund,Open Ended Schemes,26.0964,7.25,24.04,27.6,2.17,Low,1852.48
121282,Bandhan Banking and PSU Fund - Regular IDCW,Bandhan Mutual Fund,Open Ended Schemes,14.0919,7.09,66.87,25.44,1.05,Low,17078.37
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,Bandhan Mutual Fund,Open Ended Schemes,10.8799,26.6,13.29,107.85,0.4,Moderate,4394.58
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,Bandhan Mutual Fund,Open Ended Schemes,11.1073,34.32,29.97,131.0,1.86,Moderate,1541.81
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Canara Robeco Mutual Fund,Open Ended Schemes,12.8365,-8.1,19.59,92.58,0.14,High,34001.0
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Canara Robeco Mutual Fund,Open Ended Schemes,10.7612,18.37,50.34,88.04,1.18,Moderate,25322.74
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Canara Robeco Mutual Fund,Open Ended Schemes,12.6874,6.78,15.82,113.28,2.17,Moderate,9970.7
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Canara Robeco Mutual Fund,Open Ended Schemes,10.6452,27.51,19.58,80.91,1.9,High,35921.0
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes,26.2432,29.64,50.77,129.52,0.7,Low,28163.21
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,10.5912,12.35,51.2,25.72,1.66,Moderate,32740.12
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,DSP Mutual Fund,Open Ended Schemes,10.1889,13.11,48.84,125.43,1.64,Very High,38324.22
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes,10.4141,6.97,70.88,109.7,1.12,Moderate,42394.6
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,DSP Mutual Fund,Open Ended Schemes,10.4288,27.35,24.26,11.82,2.45,Low,26148.36
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,DSP Mutual Fund,Open Ended Schemes,10.2021,8.39,46.71,24.08,2.23,Moderate,11279.33
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,DSP Mutual Fund,Open Ended Schemes,25.2771,16.33,43.39,13.5,0.57,Moderate,20171.49
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,DSP Mutual Fund,Open Ended Schemes,10.5806,16.88,12.84,16.62,0.5,Moderate,14277.05
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,DSP Mutual Fund,Open Ended Schemes,10.1888,5.02,31.79,49.53,1.12,High,1743.05
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes,10.402,26.25,45.79,132.48,1.85,High,23187.9
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,DSP Mutual Fund,Open Ended Schemes,10.42,14.24,46.73,29.4,0.36,Moderate,21680.06
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,DSP Mutual Fund,Open Ended Schemes,10.2019,32.16,31.39,20.1,1.34,High,30914.8
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,26.8335,0.46,58.45,47.07,0.87,High,24732.25
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,18.5871,-8.74,37.93,52.43,2.43,Moderate,16752.89
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,14.4126,30.21,20.13,141.48,2.26,Very High,37834.2
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,10.9086,-2.87,22.0,35.05,1.07,High,15379.46
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,10.5788,3.04,33.57,34.08,0.85,High,14582.6
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,Edelweiss Mutual Fund,Open Ended Schemes,25.8193,2.47,57.09,60.95,0.78,Low,5517.62
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,17.6506,14.37,43.29,78.84,1.79,Moderate,5357.02
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,13.9329,-8.69,73.66,86.88,1.16,Low,48215.1
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,11.1548,-6.54,33.54,116.91,1.81,Moderate,11068.19
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,Edelweiss Mutual Fund,Open Ended Schemes,10.1715,8.91,33.15,66.41,1.03,Very High,34284.04
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,24.9781,23.31,65.88,54.57,2.01,Moderate,49510.53
129006,Franklin India Banking & PSU Debt Fund - Growth,Franklin Templeton Mutual Fund,Open Ended Schemes,23.8371,-0.38,66.81,74.28,0.85,High,46783.56
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,Franklin Templeton Mutual Fund,Open Ended Schemes,11.4806,28.62,42.77,51.2,2.09,High,41029.97
129007,Franklin India Banking and PSU Debt Fund - IDCW ,Franklin Templeton Mutual Fund,Open Ended Schemes,10.8573,0.55,53.33,20.5,1.97,High,11953.12
128628,HDFC Banking and PSU Debt Fund - Growth Option,HDFC Mutual Fund,Open Ended Schemes,24.2802,2.16,5.5,146.53,2.22,Moderate,33250.06
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,25.3754,18.71,39.7,18.42,0.8,Low,43731.3
128627,HDFC Banking and PSU Debt Fund - IDCW Option,HDFC Mutual Fund,Open Ended Schemes,10.184,14.9,64.03,149.09,2.41,High,31340.03
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,10.0743,3.82,21.96,66.77,1.68,Moderate,15771.61
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,HSBC Mutual Fund,Open Ended Schemes,11.1907,8.12,15.29,25.76,1.2,Moderate,4705.47
151107,HSBC Banking and PSU Debt Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,27.0681,19.8,52.9,118.78,0.5,High,705.29
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,11.1937,20.78,74.52,118.88,2.26,Moderate,31441.17
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes,10.3866,-5.73,62.22,24.65,2.27,Low,12455.19
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,HSBC Mutual Fund,Open Ended Schemes,11.116,13.94,62.58,128.28,1.39,Moderate,27504.96
151104,HSBC Banking and PSU Debt Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,25.6137,20.82,60.95,56.69,0.11,Moderate,40721.44
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,10.3884,33.69,9.33,132.08,2.32,Moderate,29133.81
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes,10.3589,34.51,35.26,43.42,0.26,High,21647.91
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,10.0549,0.34,57.94,60.72,0.55,High,37767.62
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,10.2427,16.68,10.04,52.41,1.28,High,7687.03
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,ICICI Prudential Mutual Fund,Open Ended Schemes,15.8889,17.8,14.0,100.45,0.78,Low,38999.63
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,10.2538,-0.44,20.42,98.41,2.11,Low,2187.91
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,36.3,-0.83,13.76,127.38,1.71,Very High,31351.02
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,13.1646,22.35,69.18,52.59,0.13,High,11139.93
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,10.3708,10.61,67.42,20.16,1.29,High,10618.71
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,ICICI Prudential Mutual Fund,Open Ended Schemes,13.8665,17.28,26.46,23.23,1.96,Moderate,21396.63
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,ICICI Prudential Mutual Fund,Open Ended Schemes,13.1098,22.0,9.33,91.63,0.49,Low,15273.65
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,34.706,2.26,44.86,101.66,1.22,High,27569.93
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,ICICI Prudential Mutual Fund,Open Ended Schemes,11.1425,-7.3,34.16,14.58,1.01,High,2033.82
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,ICICI Prudential Mutual Fund,Open Ended Schemes,12.9261,-1.1,12.02,104.96,1.78,Low,21776.24
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,ICICI Prudential Mutual Fund,Open Ended Schemes,10.0122,4.82,15.47,145.8,0.4,Low,30529.42
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,ICICI Prudential Mutual Fund,Open Ended Schemes,21.631,28.89,58.58,140.8,1.17,Moderate,43081.16
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,ICICI Prudential Mutual Fund,Open Ended Schemes,10.3305,23.0,48.34,74.9,0.91,Low,27759.39
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Invesco Mutual Fund,Open Ended Schemes,2565.0234,28.46,23.11,118.07,1.65,Very High,22259.0
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),Invesco Mutual Fund,Open Ended Schemes,1064.4931,34.47,26.59,80.65,0.72,Very High,3182.22
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Invesco Mutual Fund,Open Ended Schemes,1029.7426,6.16,19.33,14.94,0.69,Very High,34985.53
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),Invesco Mutual Fund,Open Ended Schemes,1051.369,-0.34,15.14,111.84,0.48,High,40894.16
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,Invesco Mutual Fund,Open Ended Schemes,2387.0173,20.04,30.22,44.28,1.04,Moderate,32614.12
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Invesco Mutual Fund,Open Ended Schemes,1081.2391,4.67,62.18,112.16,1.98,Moderate,21435.98
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,ITI Mutual Fund,Open Ended Schemes,14.1113,20.55,64.0,132.83,0.9,Moderate,5874.29
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,ITI Mutual Fund,Open Ended Schemes,14.1097,20.4,5.15,56.15,2.21,High,6417.44
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,ITI Mutual Fund,Open Ended Schemes,13.6775,33.65,6.58,39.64,0.56,Low,895.24
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,ITI Mutual Fund,Open Ended Schemes,13.6787,0.29,51.34,35.35,1.64,Very High,7947.66
123690,Kotak Banking and PSU Debt - Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,69.2761,14.4,69.83,128.86,1.86,Very High,24210.92
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Open Ended Schemes,13.0156,-6.92,67.81,66.26,2.15,High,26375.11
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,17.1427,0.14,34.36,62.02,1.38,High,45607.35
123693,Kotak Banking and PSU Debt Direct - Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,72.4326,26.77,24.61,97.77,0.53,High,37137.32
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Open Ended Schemes,10.3176,34.38,27.12,111.3,2.45,Very High,25731.37
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,LIC Mutual Fund,Open Ended Schemes,14.3176,15.43,56.24,80.91,1.68,Low,38095.01
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,LIC Mutual Fund,Open Ended Schemes,39.7747,18.75,66.8,81.29,1.04,Low,28214.52
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,LIC Mutual Fund,Open Ended Schemes,14.9797,32.19,20.38,77.73,1.67,High,37351.34
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,LIC Mutual Fund,Open Ended Schemes,10.0868,21.39,62.73,88.55,0.75,Very High,14826.16
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,LIC Mutual Fund,Open Ended Schemes,11.7797,0.8,73.29,65.26,2.29,Low,43720.91
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,LIC Mutual Fund,Open Ended Schemes,36.7153,-9.38,25.61,90.95,1.04,Very High,40281.0
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,LIC Mutual Fund,Open Ended Schemes,13.7412,-2.36,16.08,148.36,0.24,Moderate,41416.28
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,LIC Mutual Fund,Open Ended Schemes,10.4192,29.35,31.15,82.22,0.53,Low,24107.96
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Open Ended Schemes,13.9519,-5.89,65.02,28.19,2.47,Moderate,36930.62
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,Mirae Asset Mutual Fund,Open Ended Schemes,13.9448,17.73,52.38,69.47,2.39,High,42165.97
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Mirae Asset Mutual Fund,Open Ended Schemes,13.5849,31.16,25.66,93.26,1.54,High,26936.29
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,Mirae Asset Mutual Fund,Open Ended Schemes,13.5861,6.37,69.27,149.31,0.28,High,28362.33
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,22.8025,29.84,46.8,138.07,0.3,Moderate,4329.28
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,10.3238,3.27,36.36,62.81,1.11,High,29147.73
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,Nippon India Mutual Fund,Open Ended Schemes,22.8025,29.68,73.49,25.33,2.01,Very High,36441.02
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,10.8178,32.02,22.74,93.23,0.61,Moderate,20783.78
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,10.8741,33.55,31.75,40.74,1.7,High,12199.1
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,10.3235,13.61,64.06,84.82,0.28,Low,18126.51
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,21.8868,5.89,67.41,126.27,0.3,High,14751.97
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,10.7474,27.3,6.66,105.13,1.17,Moderate,10852.96
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,Nippon India Mutual Fund,Open Ended Schemes,10.8106,33.46,67.69,79.99,1.15,High,12209.52
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Nippon India Mutual Fund,Open Ended Schemes,22.8019,-4.91,5.37,120.22,0.47,High,44661.23
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,Nippon India Mutual Fund,Open Ended Schemes,12.3452,-6.7,33.96,63.23,0.9,Low,36843.85
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,Nippon India Mutual Fund,Open Ended Schemes,21.8868,10.4,21.33,124.91,1.92,High,28890.42
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Open Ended Schemes,1542.2892,34.7,65.84,117.99,2.03,Low,46951.82
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,3501.4447,18.01,74.46,48.47,0.87,Low,38234.92
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Open Ended Schemes,1315.4309,21.06,22.88,66.01,2.23,Very High,3238.78
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Open Ended Schemes,1538.8649,20.42,11.16,143.64,0.31,High,30216.45
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,SBI Mutual Fund,Open Ended Schemes,3282.1976,26.42,35.55,73.69,1.14,Moderate,28004.52
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Open Ended Schemes,1497.4304,-3.78,28.42,34.52,1.04,Moderate,32581.82
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Open Ended Schemes,1224.9592,1.1,39.9,87.04,0.23,Moderate,9737.65
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Open Ended Schemes,1497.0734,11.88,22.24,95.58,0.42,Moderate,11091.55
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,Sundaram Mutual Fund,Open Ended Schemes,11.7065,17.49,7.98,85.28,1.6,High,16444.57
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,Sundaram Mutual Fund,Open Ended Schemes,11.4008,9.56,70.16,137.24,0.51,Very High,24610.56
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,Sundaram Mutual Fund,Open Ended Schemes,10.6356,23.0,74.15,83.13,1.77,Moderate,18026.37
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,Sundaram Mutual Fund,Open Ended Schemes,11.6319,13.15,52.15,112.49,1.49,Moderate,10657.9
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,Sundaram Mutual Fund,Open Ended Schemes,11.6582,-5.99,7.73,92.15,2.1,Moderate,5746.92
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,Sundaram Mutual Fund,Open Ended Schemes,11.6493,10.56,55.61,98.12,2.34,Low,13275.01
134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,Sundaram Mutual Fund,Open Ended Schemes,11.1411,19.95,45.1,148.4,0.28,Very High,28819.45
134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,Sundaram Mutual Fund,Open Ended Schemes,11.1681,25.05,62.11,36.72,1.56,High,3336.4
134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,Sundaram Mutual Fund,Open Ended Schemes,11.0236,3.41,25.98,147.41,0.9,Moderate,43154.91
134360,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,Sundaram Mutual Fund,Open Ended Schemes,10.1418,7.66,35.66,103.75,0.23,Low,31977.52
