Transaction_ID,Investor_ID,Scheme_Code,Transaction_Date,Transaction_Type,Units,NAV,Amount,State,KYC_Status
TXN018110,INV100021,120503,2013-01-07,SIP,117.886,15.0913,1779.05,Karnataka,Verified
TXN001255,INV100026,120503,2013-01-08,SIP,21.013,15.1146,317.6,Karnataka,Verified
TXN008743,INV100025,119551,2013-01-08,SIP,153.347,103.1663,15820.24,Uttar Pradesh,Pending
TXN022316,INV100023,119092,2013-01-08,SIP,74.728,24.0369,1796.23,Uttar Pradesh,Verified
TXN021353,INV100022,118632,2013-01-08,Lumpsum,132.88,14.7197,1955.95,Karnataka,Verified
TXN006448,INV100024,120841,2013-01-08,SIP,41.794,30.6239,1279.9,Tamil Nadu,Pending
TXN013101,INV100033,120503,2013-01-09,SIP,117.845,15.0517,1773.77,Uttar Pradesh,Pending
TXN000163,INV100027,118632,2013-01-09,Lumpsum,156.753,14.7249,2308.17,West Bengal,Verified
TXN017761,INV100028,119551,2013-01-09,Lumpsum,167.843,103.1897,17319.67,Gujarat,Pending
TXN021466,INV100029,120841,2013-01-09,Lumpsum,32.372,30.6492,992.18,Delhi,Verified
TXN019100,INV100030,119551,2013-01-09,SIP,125.725,103.1897,12973.53,Karnataka,Verified
TXN000528,INV100031,118632,2013-01-09,SIP,84.922,14.7249,1250.47,Punjab,Verified
TXN006354,INV100032,119092,2013-01-09,Lumpsum,30.112,24.0424,723.96,Uttar Pradesh,Verified
TXN002002,INV100034,119551,2013-01-09,SIP,73.918,103.1897,7627.58,West Bengal,Verified
TXN008376,INV100040,119551,2013-01-10,Redemption,126.151,103.2132,13020.45,Delhi,Verified
TXN002754,INV100039,120841,2013-01-10,Redemption,58.554,30.6784,1796.34,Rajasthan,Pending
TXN002764,INV100038,119551,2013-01-10,Lumpsum,87.73,103.2132,9054.89,Gujarat,Verified
TXN017999,INV100035,119092,2013-01-10,SIP,19.353,24.0479,465.4,Rajasthan,Verified
TXN014964,INV100036,118632,2013-01-10,SIP,82.031,14.6784,1204.08,Delhi,Verified
TXN010169,INV100041,119551,2013-01-10,SIP,48.379,103.2132,4993.35,Rajasthan,Verified
TXN009013,INV100037,120503,2013-01-10,SIP,39.486,15.0619,594.73,Tamil Nadu,Verified
TXN001381,INV100050,118632,2013-01-11,SIP,181.079,14.6421,2651.38,Telangana,Verified
TXN020573,INV100049,119551,2013-01-11,SIP,54.762,103.2385,5653.55,Uttar Pradesh,Verified
TXN012807,INV100051,120503,2013-01-11,Lumpsum,73.813,14.8886,1098.97,West Bengal,Rejected
TXN020225,INV100048,118632,2013-01-11,Redemption,66.953,14.6421,980.33,Tamil Nadu,Verified
TXN021406,INV100047,118632,2013-01-11,Lumpsum,135.848,14.6421,1989.1,Maharashtra,Pending
TXN011014,INV100045,119551,2013-01-11,SIP,142.237,103.2385,14684.33,Punjab,Verified
TXN011261,INV100044,119551,2013-01-11,SIP,72.14,103.2385,7447.63,Tamil Nadu,Verified
TXN004572,INV100043,120841,2013-01-11,Lumpsum,166.284,30.6305,5093.36,Gujarat,Verified
TXN007176,INV100042,118632,2013-01-11,SIP,50.843,14.6421,744.45,Punjab,Verified
TXN020889,INV100046,120841,2013-01-11,SIP,136.559,30.6305,4182.87,Uttar Pradesh,Pending
TXN009987,INV100052,119092,2013-01-13,SIP,182.188,24.0643,4384.23,Uttar Pradesh,Verified
TXN002551,INV100053,119092,2013-01-13,SIP,31.101,24.0643,748.42,Tamil Nadu,Verified
TXN001359,INV100054,119092,2013-01-13,Lumpsum,170.91,24.0643,4112.83,Uttar Pradesh,Verified
TXN010137,INV100059,119092,2013-01-14,Lumpsum,146.96,24.0698,3537.3,Maharashtra,Verified
TXN001539,INV100061,118632,2013-01-14,SIP,106.348,14.7844,1572.29,Rajasthan,Verified
TXN024064,INV100060,118632,2013-01-14,Redemption,181.933,14.7844,2689.77,Maharashtra,Verified
TXN011026,INV100057,118632,2013-01-14,SIP,117.721,14.7844,1740.43,Tamil Nadu,Verified
TXN002660,INV100056,120841,2013-01-14,Lumpsum,84.852,30.6862,2603.79,Tamil Nadu,Verified
TXN021806,INV100055,120841,2013-01-14,Lumpsum,126.369,30.6862,3877.78,Delhi,Verified
TXN004021,INV100058,119092,2013-01-14,SIP,81.602,24.0698,1964.14,Uttar Pradesh,Verified
TXN021872,INV100062,119092,2013-01-15,SIP,54.792,24.0754,1319.14,Rajasthan,Verified
TXN022864,INV100063,118632,2013-01-15,Lumpsum,167.299,14.8315,2481.3,Rajasthan,Verified
TXN006678,INV100064,119092,2013-01-15,SIP,79.492,24.0754,1913.8,Uttar Pradesh,Verified
TXN013992,INV100066,119092,2013-01-16,SIP,156.761,24.0809,3774.95,West Bengal,Verified
TXN014106,INV100065,118632,2013-01-16,SIP,115.549,14.6876,1697.14,Maharashtra,Verified
TXN012784,INV100075,120503,2013-01-17,Lumpsum,69.572,14.8214,1031.15,West Bengal,Verified
TXN023292,INV100070,120841,2013-01-17,SIP,6.29,30.6565,192.83,West Bengal,Verified
TXN017586,INV100077,120841,2013-01-17,SIP,17.757,30.6565,544.37,Gujarat,Verified
TXN023875,INV100074,119092,2013-01-17,Redemption,91.576,24.0863,2205.73,Karnataka,Verified
TXN018827,INV100076,120841,2013-01-17,SIP,145.115,30.6565,4448.72,Gujarat,Verified
TXN021238,INV100073,118632,2013-01-17,Redemption,154.865,14.7703,2287.4,Delhi,Verified
TXN010052,INV100068,119092,2013-01-17,SIP,77.512,24.0863,1866.98,Maharashtra,Verified
TXN012398,INV100071,119092,2013-01-17,Redemption,87.508,24.0863,2107.74,Punjab,Verified
TXN011161,INV100069,119092,2013-01-17,Redemption,167.222,24.0863,4027.76,Gujarat,Verified
TXN015385,INV100067,119551,2013-01-17,SIP,8.191,102.9691,843.42,Karnataka,Verified
TXN023096,INV100072,120503,2013-01-17,SIP,13.009,14.8214,192.81,West Bengal,Verified
TXN006364,INV100084,118632,2013-01-18,Lumpsum,150.313,14.8654,2234.46,Rajasthan,Verified
TXN008315,INV100083,120841,2013-01-18,SIP,23.442,30.658,718.68,Gujarat,Verified
TXN004902,INV100081,120841,2013-01-18,SIP,156.096,30.658,4785.59,Tamil Nadu,Pending
TXN012283,INV100082,119551,2013-01-18,Lumpsum,138.695,102.9932,14284.64,Karnataka,Verified
TXN024887,INV100079,120841,2013-01-18,SIP,55.69,30.658,1707.34,Gujarat,Verified
TXN011044,INV100078,119551,2013-01-18,SIP,28.055,102.9932,2889.47,Uttar Pradesh,Verified
TXN012960,INV100080,120841,2013-01-18,SIP,19.724,30.658,604.7,West Bengal,Verified
TXN000917,INV100089,120841,2013-01-21,SIP,118.431,30.6574,3630.79,Maharashtra,Verified
TXN007037,INV100085,119551,2013-01-21,SIP,7.967,103.0662,821.13,Tamil Nadu,Verified
TXN014513,INV100086,119551,2013-01-21,Lumpsum,53.572,103.0662,5521.46,Gujarat,Rejected
TXN021805,INV100087,120503,2013-01-21,SIP,133.726,14.7538,1972.97,Uttar Pradesh,Verified
TXN023230,INV100088,120841,2013-01-21,SIP,159.166,30.6574,4879.62,Uttar Pradesh,Verified
TXN020862,INV100090,120841,2013-01-21,SIP,27.105,30.6574,830.97,Karnataka,Verified
TXN000367,INV100096,120503,2013-01-22,Lumpsum,46.918,14.7072,690.03,Tamil Nadu,Verified
TXN005179,INV100097,118632,2013-01-22,SIP,30.929,14.8574,459.52,Delhi,Verified
TXN015463,INV100095,118632,2013-01-22,Lumpsum,73.095,14.8574,1086.0,Telangana,Verified
TXN009655,INV100098,120503,2013-01-22,Lumpsum,119.589,14.7072,1758.82,Maharashtra,Verified
TXN022629,INV100093,119551,2013-01-22,SIP,100.674,103.0909,10378.57,Maharashtra,Verified
TXN024218,INV100092,120503,2013-01-22,SIP,84.062,14.7072,1236.32,Delhi,Rejected
TXN016617,INV100091,120503,2013-01-22,SIP,183.603,14.7072,2700.29,Tamil Nadu,Verified
TXN009538,INV100094,119551,2013-01-22,Lumpsum,144.104,103.0909,14855.81,Karnataka,Verified
TXN009404,INV100099,119092,2013-01-23,Redemption,99.47,24.1194,2399.16,Delhi,Verified
TXN016524,INV100100,119551,2013-01-23,SIP,13.915,103.1145,1434.84,Karnataka,Verified
TXN019222,INV100101,119551,2013-01-23,SIP,115.189,103.1145,11877.66,Gujarat,Verified
TXN011012,INV100102,119092,2013-01-23,Redemption,89.059,24.1194,2148.05,Tamil Nadu,Verified
TXN012675,INV100103,119092,2013-01-23,Lumpsum,38.077,24.1194,918.39,Punjab,Verified
TXN005412,INV100104,120503,2013-01-23,SIP,24.965,14.6961,366.89,Delhi,Verified
TXN001228,INV100105,118632,2013-01-23,SIP,67.402,14.7986,997.46,Punjab,Verified
TXN003193,INV100110,120503,2013-01-24,Lumpsum,144.689,14.6124,2114.25,Punjab,Verified
TXN021991,INV100109,118632,2013-01-24,SIP,142.012,14.6226,2076.58,Rajasthan,Verified
TXN019070,INV100106,119092,2013-01-24,Lumpsum,6.462,24.1249,155.9,Delhi,Verified
TXN010295,INV100107,120841,2013-01-24,Lumpsum,52.946,30.6574,1623.19,Rajasthan,Verified
TXN024825,INV100108,120841,2013-01-24,Lumpsum,16.402,30.6574,502.84,Tamil Nadu,Verified
TXN018531,INV100111,120503,2013-01-25,SIP,76.555,14.7695,1130.68,Uttar Pradesh,Pending
TXN017641,INV100112,118632,2013-01-25,SIP,46.448,14.7605,685.6,Punjab,Verified
TXN020696,INV100113,119092,2013-01-27,SIP,190.663,24.1413,4602.85,Karnataka,Rejected
TXN022387,INV100114,119092,2013-01-27,SIP,36.265,24.1413,875.48,Karnataka,Verified
TXN000690,INV100119,119092,2013-01-28,Lumpsum,57.39,24.1468,1385.78,Rajasthan,Verified
TXN015481,INV100121,120503,2013-01-28,Lumpsum,44.633,14.7769,659.54,Delhi,Verified
TXN021941,INV100118,119551,2013-01-28,SIP,40.626,103.2351,4194.03,Punjab,Verified
TXN015853,INV100120,120503,2013-01-28,SIP,173.393,14.7769,2562.21,Telangana,Verified
TXN020858,INV100116,118632,2013-01-28,Lumpsum,108.374,14.7737,1601.08,Delhi,Verified
TXN005089,INV100115,120503,2013-01-28,SIP,116.869,14.7769,1726.96,West Bengal,Verified
TXN000866,INV100117,120503,2013-01-28,SIP,139.041,14.7769,2054.59,Delhi,Verified
TXN004048,INV100133,119551,2013-01-29,SIP,183.256,102.9384,18864.08,West Bengal,Verified
TXN008190,INV100131,119092,2013-01-29,Lumpsum,133.849,24.1522,3232.75,West Bengal,Verified
TXN017098,INV100130,119092,2013-01-29,Lumpsum,134.867,24.1522,3257.33,Gujarat,Verified
TXN017672,INV100129,119551,2013-01-29,SIP,36.208,102.9384,3727.19,Uttar Pradesh,Verified
TXN002225,INV100128,119092,2013-01-29,Redemption,71.995,24.1522,1738.84,Gujarat,Verified
TXN010322,INV100132,118632,2013-01-29,SIP,41.489,14.681,609.1,Punjab,Verified
TXN004453,INV100126,120503,2013-01-29,SIP,20.366,14.7946,301.31,Rajasthan,Verified
TXN000251,INV100125,119551,2013-01-29,SIP,149.163,102.9384,15354.6,Punjab,Verified
TXN015617,INV100124,119551,2013-01-29,SIP,119.495,102.9384,12300.62,Rajasthan,Verified
TXN016004,INV100123,120841,2013-01-29,Lumpsum,191.117,30.674,5862.32,Delhi,Verified
TXN014939,INV100122,120841,2013-01-29,SIP,164.253,30.674,5038.3,West Bengal,Verified
TXN020302,INV100127,119092,2013-01-29,Lumpsum,108.307,24.1522,2615.85,Uttar Pradesh,Pending
TXN000296,INV100140,120841,2013-01-30,SIP,7.514,30.6441,230.26,Telangana,Verified
TXN005478,INV100139,119551,2013-01-30,SIP,55.197,102.959,5683.03,Delhi,Verified
TXN014044,INV100138,120503,2013-01-30,SIP,87.389,14.7706,1290.79,Delhi,Verified
TXN016182,INV100137,120503,2013-01-30,SIP,63.651,14.7706,940.16,Delhi,Verified
TXN017523,INV100135,118632,2013-01-30,Lumpsum,199.937,14.6583,2930.74,Maharashtra,Verified
TXN002945,INV100134,118632,2013-01-30,Lumpsum,33.717,14.6583,494.23,Punjab,Verified
TXN009283,INV100136,118632,2013-01-30,Lumpsum,182.834,14.6583,2680.04,Karnataka,Verified
TXN006264,INV100141,119551,2013-01-31,SIP,15.908,102.9778,1638.17,Delhi,Verified
TXN021077,INV100142,119551,2013-01-31,SIP,101.316,102.9778,10433.3,West Bengal,Verified
TXN018966,INV100143,120841,2013-01-31,SIP,178.691,30.6763,5481.58,Rajasthan,Verified
TXN023348,INV100144,119551,2013-01-31,SIP,15.209,102.9778,1566.19,West Bengal,Verified
TXN015340,INV100149,119551,2013-02-01,Lumpsum,191.025,102.9976,19675.12,Maharashtra,Verified
TXN000281,INV100148,120841,2013-02-01,SIP,126.83,30.7201,3896.23,Uttar Pradesh,Verified
TXN022435,INV100145,119092,2013-02-01,SIP,83.761,24.1686,2024.39,Gujarat,Verified
TXN010345,INV100146,119092,2013-02-01,SIP,183.035,24.1686,4423.7,Gujarat,Verified
TXN004230,INV100147,120503,2013-02-01,Lumpsum,123.856,14.6961,1820.2,Maharashtra,Verified
TXN015944,INV100150,119092,2013-02-03,Lumpsum,188.845,24.1795,4566.18,Uttar Pradesh,Verified
TXN001020,INV100151,119092,2013-02-03,SIP,145.489,24.1795,3517.85,Gujarat,Verified
TXN011011,INV100157,119092,2013-02-04,SIP,50.281,24.1849,1216.04,Telangana,Verified
TXN019760,INV100156,119092,2013-02-04,Redemption,38.166,24.1849,923.04,Uttar Pradesh,Verified
TXN019924,INV100155,120503,2013-02-04,Lumpsum,77.908,14.7065,1145.75,Punjab,Verified
TXN007388,INV100158,119551,2013-02-04,SIP,165.999,103.0659,17108.84,West Bengal,Verified
TXN001031,INV100153,119092,2013-02-04,SIP,84.606,24.1849,2046.19,Punjab,Verified
TXN004602,INV100152,119092,2013-02-04,SIP,28.159,24.1849,681.02,West Bengal,Verified
TXN015779,INV100154,120841,2013-02-04,Redemption,98.575,30.7231,3028.53,Telangana,Verified
TXN011341,INV100159,120841,2013-02-05,SIP,173.481,30.6673,5320.19,Telangana,Verified
TXN016259,INV100160,120841,2013-02-05,SIP,60.253,30.6673,1847.8,Punjab,Verified
TXN005718,INV100161,118632,2013-02-05,Lumpsum,193.851,14.4313,2797.52,West Bengal,Pending
TXN014519,INV100162,118632,2013-02-05,Lumpsum,18.847,14.4313,271.99,West Bengal,Verified
TXN008908,INV100163,119551,2013-02-05,Redemption,8.605,103.0886,887.08,Tamil Nadu,Verified
TXN023419,INV100164,119551,2013-02-05,Redemption,96.923,103.0886,9991.66,Telangana,Verified
TXN003890,INV100170,119551,2013-02-06,Redemption,184.794,103.1119,19054.46,Telangana,Verified
TXN022341,INV100173,119092,2013-02-06,SIP,147.753,24.1959,3575.02,Rajasthan,Verified
TXN001704,INV100171,119551,2013-02-06,Lumpsum,41.582,103.1119,4287.6,Karnataka,Verified
TXN010768,INV100169,118632,2013-02-06,SIP,31.782,14.4775,460.12,Rajasthan,Verified
TXN024035,INV100172,120503,2013-02-06,SIP,163.094,14.7026,2397.91,Tamil Nadu,Verified
TXN000202,INV100167,120503,2013-02-06,SIP,11.023,14.7026,162.07,Tamil Nadu,Pending
TXN004217,INV100166,120503,2013-02-06,SIP,61.819,14.7026,908.9,Delhi,Verified
TXN004077,INV100165,120841,2013-02-06,Lumpsum,179.256,30.7067,5504.36,Tamil Nadu,Verified
TXN009390,INV100168,119551,2013-02-06,Redemption,93.341,103.1119,9624.57,Delhi,Verified
TXN006265,INV100174,119092,2013-02-07,Lumpsum,141.742,24.2013,3430.34,West Bengal,Verified
TXN016943,INV100175,120841,2013-02-07,SIP,94.141,30.6882,2889.02,Gujarat,Verified
TXN007293,INV100176,120841,2013-02-07,SIP,121.431,30.6882,3726.5,West Bengal,Verified
TXN017337,INV100177,120503,2013-02-07,SIP,57.719,14.6822,847.44,Uttar Pradesh,Verified
TXN009277,INV100178,119092,2013-02-07,Redemption,171.838,24.2013,4158.7,Uttar Pradesh,Pending
TXN018275,INV100179,118632,2013-02-08,SIP,199.002,14.3212,2849.95,Gujarat,Verified
TXN010898,INV100180,120841,2013-02-08,SIP,15.083,30.6813,462.77,Delhi,Pending
TXN009504,INV100181,119551,2013-02-08,SIP,86.689,103.1594,8942.79,Maharashtra,Pending
TXN007154,INV100182,118632,2013-02-08,SIP,71.77,14.3212,1027.83,Uttar Pradesh,Verified
TXN023025,INV100184,119092,2013-02-10,SIP,20.045,24.2174,485.44,Karnataka,Verified
TXN010050,INV100183,119092,2013-02-10,SIP,196.27,24.2174,4753.15,Maharashtra,Verified
TXN022756,INV100185,120841,2013-02-11,SIP,28.908,30.5643,883.55,Tamil Nadu,Verified
TXN010755,INV100186,120841,2013-02-11,SIP,140.99,30.5643,4309.26,Rajasthan,Verified
TXN000819,INV100187,118632,2013-02-11,SIP,94.572,14.2908,1351.51,Gujarat,Verified
TXN013437,INV100188,119092,2013-02-12,SIP,43.444,24.2284,1052.58,Uttar Pradesh,Verified
TXN022982,INV100189,119551,2013-02-12,Lumpsum,77.388,103.2523,7990.49,Tamil Nadu,Pending
TXN021463,INV100190,118632,2013-02-12,SIP,128.951,14.3298,1847.84,West Bengal,Rejected
TXN021774,INV100191,119551,2013-02-12,SIP,194.589,103.2523,20091.76,Rajasthan,Verified
TXN021071,INV100192,118632,2013-02-12,SIP,56.75,14.3298,813.22,West Bengal,Pending
TXN020223,INV100193,118632,2013-02-12,Lumpsum,116.937,14.3298,1675.68,Tamil Nadu,Verified
TXN017959,INV100199,119551,2013-02-13,SIP,171.807,103.2745,17743.28,Punjab,Verified
TXN004293,INV100198,120841,2013-02-13,SIP,167.182,30.693,5131.32,Uttar Pradesh,Verified
TXN000600,INV100197,120503,2013-02-13,Lumpsum,22.635,14.6106,330.71,Karnataka,Verified
TXN005109,INV100194,120841,2013-02-13,Lumpsum,160.814,30.693,4935.86,Karnataka,Verified
TXN024156,INV100195,120503,2013-02-13,SIP,73.436,14.6106,1072.94,Uttar Pradesh,Verified
TXN024264,INV100196,119551,2013-02-13,Lumpsum,165.07,103.2745,17047.52,Rajasthan,Verified
TXN010699,INV100200,118632,2013-02-14,SIP,94.043,14.1541,1331.09,Punjab,Verified
TXN010813,INV100201,119551,2013-02-14,SIP,13.244,103.2937,1368.02,Gujarat,Verified
TXN016338,INV100202,120503,2013-02-14,SIP,80.934,14.5047,1173.92,Maharashtra,Verified
TXN016488,INV100203,118632,2013-02-14,Redemption,131.606,14.1541,1862.76,Delhi,Verified
TXN020567,INV100204,119551,2013-02-14,SIP,86.419,103.2937,8926.54,Maharashtra,Verified
TXN022907,INV100205,119092,2013-02-14,Redemption,184.601,24.2392,4474.58,Karnataka,Pending
TXN023229,INV100206,120841,2013-02-14,SIP,31.246,30.648,957.63,Punjab,Verified
TXN023224,INV100209,119551,2013-02-15,Redemption,161.754,102.9522,16652.93,Delhi,Verified
TXN004529,INV100210,120503,2013-02-15,Lumpsum,133.353,14.4666,1929.16,West Bengal,Verified
TXN015101,INV100207,118632,2013-02-15,Redemption,99.488,14.1364,1406.4,Tamil Nadu,Verified
TXN017294,INV100208,119092,2013-02-15,Redemption,195.544,24.2446,4740.89,Telangana,Pending
TXN019369,INV100211,119092,2013-02-17,Lumpsum,48.216,24.2554,1169.5,Rajasthan,Verified
TXN014265,INV100212,119092,2013-02-17,Lumpsum,151.767,24.2554,3681.17,Uttar Pradesh,Verified
TXN004059,INV100213,119092,2013-02-17,SIP,25.895,24.2554,628.09,Telangana,Verified
TXN001436,INV100214,120841,2013-02-18,Redemption,199.77,30.6588,6124.71,Uttar Pradesh,Verified
TXN022206,INV100215,120503,2013-02-18,Lumpsum,89.238,14.4915,1293.19,Rajasthan,Verified
TXN009604,INV100216,120503,2013-02-18,Lumpsum,138.709,14.4915,2010.1,Delhi,Verified
TXN020210,INV100217,119092,2013-02-19,Lumpsum,30.256,24.2664,734.2,Punjab,Verified
TXN008400,INV100218,120841,2013-02-19,SIP,68.52,30.6778,2102.04,Gujarat,Verified
TXN006379,INV100219,120503,2013-02-19,SIP,104.787,14.6114,1531.08,Delhi,Pending
TXN012152,INV100223,118632,2013-02-20,SIP,164.003,14.2782,2341.67,Telangana,Verified
TXN017996,INV100222,120503,2013-02-20,SIP,195.336,14.6159,2855.01,West Bengal,Verified
TXN008859,INV100221,118632,2013-02-20,Lumpsum,145.603,14.2782,2078.95,Telangana,Verified
TXN013173,INV100220,120841,2013-02-20,SIP,106.485,30.7038,3269.49,Punjab,Pending
TXN005011,INV100224,119551,2013-02-21,Lumpsum,190.923,103.0965,19683.49,Uttar Pradesh,Verified
TXN019128,INV100225,120503,2013-02-21,Lumpsum,32.369,14.4163,466.64,Maharashtra,Verified
TXN015089,INV100226,118632,2013-02-21,SIP,54.065,14.0679,760.58,Maharashtra,Verified
TXN012429,INV100227,120503,2013-02-21,SIP,168.237,14.4163,2425.36,Punjab,Verified
TXN001126,INV100228,120841,2013-02-21,SIP,16.318,30.6841,500.7,Telangana,Rejected
TXN005763,INV100229,120503,2013-02-21,SIP,98.195,14.4163,1415.61,West Bengal,Verified
TXN016830,INV100236,120503,2013-02-22,SIP,41.43,14.4423,598.34,Telangana,Verified
TXN007619,INV100235,119092,2013-02-22,SIP,121.196,24.2828,2942.98,Karnataka,Verified
TXN017905,INV100234,119551,2013-02-22,SIP,21.939,103.1226,2262.41,Punjab,Verified
TXN013242,INV100233,119551,2013-02-22,SIP,18.305,103.1226,1887.66,Delhi,Verified
TXN021088,INV100232,119551,2013-02-22,SIP,22.049,103.1226,2273.75,Punjab,Pending
TXN002184,INV100231,118632,2013-02-22,SIP,35.788,14.0985,504.56,Tamil Nadu,Rejected
TXN007218,INV100230,119092,2013-02-22,Lumpsum,101.601,24.2828,2467.16,Punjab,Verified
TXN022417,INV100237,119092,2013-02-24,SIP,84.952,24.2938,2063.81,Rajasthan,Verified
TXN020352,INV100238,119092,2013-02-24,Redemption,185.947,24.2938,4517.36,Maharashtra,Verified
TXN018211,INV100239,119092,2013-02-24,SIP,103.924,24.2938,2524.71,Delhi,Verified
TXN021519,INV100240,119092,2013-02-24,Lumpsum,113.777,24.2938,2764.08,West Bengal,Pending
TXN022512,INV100248,119551,2013-02-25,SIP,125.523,103.1919,12952.96,Karnataka,Pending
TXN024737,INV100247,119551,2013-02-25,Lumpsum,155.668,103.1919,16063.68,Punjab,Verified
TXN002815,INV100244,120503,2013-02-25,SIP,192.849,14.401,2777.22,Rajasthan,Verified
TXN007110,INV100246,120503,2013-02-25,Lumpsum,5.331,14.401,76.77,Rajasthan,Verified
TXN005926,INV100245,119551,2013-02-25,SIP,169.416,103.1919,17482.36,Delhi,Verified
TXN008882,INV100241,119092,2013-02-25,SIP,35.4,24.2993,860.2,Punjab,Verified
TXN012423,INV100243,118632,2013-02-25,Lumpsum,166.924,14.0828,2350.76,West Bengal,Pending
TXN016918,INV100242,120841,2013-02-25,SIP,43.683,30.8655,1348.3,Delhi,Verified
TXN023532,INV100249,120503,2013-02-26,Lumpsum,75.15,14.2049,1067.5,Telangana,Pending
TXN006242,INV100250,118632,2013-02-26,Lumpsum,38.574,13.8873,535.69,Gujarat,Verified
TXN001980,INV100251,119092,2013-02-26,Redemption,178.17,24.3047,4330.37,Rajasthan,Verified
TXN001789,INV100252,120841,2013-02-26,SIP,196.257,30.8517,6054.86,Karnataka,Verified
TXN023542,INV100253,119092,2013-02-26,Redemption,116.265,24.3047,2825.79,Punjab,Verified
TXN017030,INV100258,119092,2013-02-27,SIP,13.197,24.3102,320.82,Karnataka,Verified
TXN019230,INV100257,118632,2013-02-27,SIP,139.806,13.9873,1955.51,Rajasthan,Verified
TXN024082,INV100256,120503,2013-02-27,Redemption,176.624,14.2879,2523.59,Karnataka,Verified
TXN023872,INV100255,119092,2013-02-27,SIP,15.071,24.3102,366.38,Karnataka,Verified
TXN014053,INV100254,118632,2013-02-27,SIP,180.057,13.9873,2518.51,Maharashtra,Verified
TXN019318,INV100259,119551,2013-02-28,SIP,149.696,103.254,15456.71,Maharashtra,Verified
TXN001113,INV100260,120503,2013-02-28,SIP,169.918,14.1092,2397.41,Delhi,Verified
TXN022438,INV100261,119092,2013-02-28,SIP,147.591,24.3157,3588.78,Karnataka,Verified
TXN010547,INV100262,118632,2013-03-01,SIP,11.348,13.8247,156.88,Rajasthan,Verified
TXN008147,INV100263,119092,2013-03-01,SIP,119.798,24.3212,2913.63,Tamil Nadu,Verified
TXN020273,INV100264,120503,2013-03-01,Lumpsum,92.2,14.238,1312.74,Maharashtra,Verified
TXN017516,INV100265,120841,2013-03-01,Redemption,178.599,30.8771,5514.62,Gujarat,Verified
TXN007902,INV100266,119551,2013-03-01,SIP,136.936,102.9714,14100.49,Uttar Pradesh,Verified
TXN011971,INV100270,119092,2013-03-03,Lumpsum,158.831,24.3322,3864.71,Punjab,Rejected
TXN008102,INV100271,119092,2013-03-03,SIP,20.052,24.3322,487.91,Maharashtra,Verified
TXN005018,INV100268,119092,2013-03-03,Redemption,136.092,24.3322,3311.42,Telangana,Verified
TXN024786,INV100267,119092,2013-03-03,Redemption,173.382,24.3322,4218.77,Telangana,Verified
TXN014837,INV100269,119092,2013-03-03,SIP,168.881,24.3322,4109.25,Delhi,Verified
TXN008778,INV100272,120841,2013-03-04,Redemption,132.92,30.9006,4107.31,Telangana,Verified
TXN019290,INV100273,119092,2013-03-04,SIP,80.936,24.3377,1969.8,Maharashtra,Rejected
TXN001680,INV100274,119092,2013-03-04,Redemption,169.449,24.3377,4124.0,Tamil Nadu,Verified
TXN003444,INV100275,118632,2013-03-04,Redemption,165.544,13.7577,2277.5,Gujarat,Verified
TXN007336,INV100276,118632,2013-03-04,SIP,83.953,13.7577,1155.0,West Bengal,Verified
